MEM_SCHEDULER_BLOCK.ALL, 0x704
MEM_SCHEDULER_BLOCK.LD_BUF, 0x204
MEM_SCHEDULER_BLOCK.RSV, 0x404
MEM_SCHEDULER_BLOCK.ST_BUF, 0x104
MEM_STORE_RETIRED.L2_HIT, 0x144
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_128, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_16, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_256, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_32, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_512, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_64, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_8, 0x5d0
MEM_UOPS_RETIRED.LOCK_LOADS, 0x21d0
MEM_UOPS_RETIRED.SPLIT_LOADS, 0x41d0
MEM_UOPS_RETIRED.STLB_MISS, 0x13d0
MEM_UOPS_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_UOPS_RETIRED.STLB_MISS_STORES, 0x12d0
MEM_UOPS_RETIRED.STORE_LATENCY, 0x6d0
MEM_UOP_RETIRED.ANY, 0x3e5
OCR.COREWB_M.ANY_RESPONSE, 0x1b7
OCR.DEMAND_CODE_RD.ANY_RESPONSE, 0x1b7
OCR.DEMAND_CODE_RD.L3_HIT, 0x1b7
OCR.DEMAND_CODE_RD.L3_HIT.SNOOP_HITM, 0x1b7
OCR.DEMAND_CODE_RD.L3_HIT.SNOOP_HIT_NO_FWD, 0x1b7
OCR.DEMAND_CODE_RD.L3_HIT.SNOOP_HIT_WITH_FWD, 0x1b7
OCR.DEMAND_DATA_RD.ANY_RESPONSE, 0x1b7
OCR.DEMAND_DATA_RD.L3_HIT, 0x1b7
OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM, 0x1b7
