cycle_activity.cycles_l3_miss, 0x2a3
cycle_activity.stalls_l3_miss, 0x6a3
hle_retired.aborted, 0x4c8
hle_retired.aborted_events, 0x80c8
hle_retired.aborted_mem, 0x8c8
hle_retired.aborted_memtype, 0x40c8
hle_retired.aborted_timer, 0x10c8
hle_retired.aborted_unfriendly, 0x20c8
hle_retired.commit, 0x2c8
hle_retired.start, 0x1c8
machine_clears.memory_ordering, 0x2c3
offcore_response.all_pf_rfo.l3_miss.remote_hitm_0, 0x1b7, 0x103fc00120
offcore_response.all_pf_rfo.l3_miss.remote_hitm_1, 0x1bb, 0x103fc00120
offcore_response.all_pf_rfo.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc00120
offcore_response.all_pf_rfo.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc00120
offcore_response.all_pf_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000120
offcore_response.all_pf_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000120
offcore_response.all_pf_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000120
offcore_response.all_pf_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000120
offcore_response.all_pf_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x1004000120
offcore_response.all_pf_rfo.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x1004000120
offcore_response.all_pf_rfo.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x804000120
offcore_response.all_pf_rfo.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x804000120
offcore_response.all_pf_rfo.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x404000120
offcore_response.all_pf_rfo.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x404000120
offcore_response.all_pf_rfo.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x104000120
offcore_response.all_pf_rfo.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x104000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x604000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x604000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000120
offcore_response.all_pf_rfo.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000120
offcore_response.all_pf_rfo.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b800120
offcore_response.all_pf_rfo.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b800120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.any_snoop_0, 0x1b7, 0x3f90000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.any_snoop_1, 0x1bb, 0x3f90000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.hitm_other_core_0, 0x1b7, 0x1010000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.hitm_other_core_1, 0x1bb, 0x1010000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.hit_other_core_fwd_0, 0x1b7, 0x810000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.hit_other_core_fwd_1, 0x1bb, 0x810000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_0, 0x1b7, 0x410000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_1, 0x1bb, 0x410000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.no_snoop_needed_0, 0x1b7, 0x110000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.no_snoop_needed_1, 0x1bb, 0x110000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.snoop_miss_0, 0x1b7, 0x210000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.snoop_miss_1, 0x1bb, 0x210000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.snoop_none_0, 0x1b7, 0x90000120
offcore_response.all_pf_rfo.l3_miss_remote_hop1_dram.snoop_none_1, 0x1bb, 0x90000120
offcore_response.all_reads.l3_miss.any_snoop_0, 0x1b7, 0x3fbc0007f7
offcore_response.all_reads.l3_miss.any_snoop_1, 0x1bb, 0x3fbc0007f7
offcore_response.all_reads.l3_miss.hitm_other_core_0, 0x1b7, 0x103c0007f7
offcore_response.all_reads.l3_miss.hitm_other_core_1, 0x1bb, 0x103c0007f7
offcore_response.all_reads.l3_miss.hit_other_core_fwd_0, 0x1b7, 0x83c0007f7
offcore_response.all_reads.l3_miss.hit_other_core_fwd_1, 0x1bb, 0x83c0007f7
offcore_response.all_reads.l3_miss.hit_other_core_no_fwd_0, 0x1b7, 0x43c0007f7
offcore_response.all_reads.l3_miss.hit_other_core_no_fwd_1, 0x1bb, 0x43c0007f7
offcore_response.all_reads.l3_miss.no_snoop_needed_0, 0x1b7, 0x13c0007f7
offcore_response.all_reads.l3_miss.no_snoop_needed_1, 0x1bb, 0x13c0007f7
offcore_response.all_reads.l3_miss.remote_hitm_0, 0x1b7, 0x103fc007f7
offcore_response.all_reads.l3_miss.remote_hitm_1, 0x1bb, 0x103fc007f7
offcore_response.all_reads.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc007f7
offcore_response.all_reads.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc007f7
offcore_response.all_reads.l3_miss.snoop_miss_0, 0x1b7, 0x23c0007f7
offcore_response.all_reads.l3_miss.snoop_miss_1, 0x1bb, 0x23c0007f7
offcore_response.all_reads.l3_miss.snoop_none_0, 0x1b7, 0xbc0007f7
offcore_response.all_reads.l3_miss.snoop_none_1, 0x1bb, 0xbc0007f7
offcore_response.all_reads.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f840007f7
offcore_response.all_reads.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f840007f7
offcore_response.all_reads.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x10040007f7
offcore_response.all_reads.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x10040007f7
offcore_response.all_reads.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x8040007f7
offcore_response.all_reads.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x8040007f7
offcore_response.all_reads.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x4040007f7
offcore_response.all_reads.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x4040007f7
offcore_response.all_reads.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x1040007f7
offcore_response.all_reads.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x1040007f7
offcore_response.all_reads.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x2040007f7
offcore_response.all_reads.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x2040007f7
offcore_response.all_reads.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x6040007f7
offcore_response.all_reads.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x6040007f7
offcore_response.all_reads.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x840007f7
offcore_response.all_reads.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x840007f7
offcore_response.all_reads.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b8007f7
offcore_response.all_reads.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b8007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.any_snoop_0, 0x1b7, 0x3f900007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.any_snoop_1, 0x1bb, 0x3f900007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.hitm_other_core_0, 0x1b7, 0x10100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.hitm_other_core_1, 0x1bb, 0x10100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.hit_other_core_fwd_0, 0x1b7, 0x8100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.hit_other_core_fwd_1, 0x1bb, 0x8100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_0, 0x1b7, 0x4100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_1, 0x1bb, 0x4100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.no_snoop_needed_0, 0x1b7, 0x1100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.no_snoop_needed_1, 0x1bb, 0x1100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.snoop_miss_0, 0x1b7, 0x2100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.snoop_miss_1, 0x1bb, 0x2100007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.snoop_none_0, 0x1b7, 0x900007f7
offcore_response.all_reads.l3_miss_remote_hop1_dram.snoop_none_1, 0x1bb, 0x900007f7
offcore_response.all_rfo.l3_miss.any_snoop_0, 0x1b7, 0x3fbc000122
offcore_response.all_rfo.l3_miss.any_snoop_1, 0x1bb, 0x3fbc000122
offcore_response.all_rfo.l3_miss.hitm_other_core_0, 0x1b7, 0x103c000122
offcore_response.all_rfo.l3_miss.hitm_other_core_1, 0x1bb, 0x103c000122
offcore_response.all_rfo.l3_miss.hit_other_core_fwd_0, 0x1b7, 0x83c000122
offcore_response.all_rfo.l3_miss.hit_other_core_fwd_1, 0x1bb, 0x83c000122
offcore_response.all_rfo.l3_miss.hit_other_core_no_fwd_0, 0x1b7, 0x43c000122
offcore_response.all_rfo.l3_miss.hit_other_core_no_fwd_1, 0x1bb, 0x43c000122
offcore_response.all_rfo.l3_miss.no_snoop_needed_0, 0x1b7, 0x13c000122
offcore_response.all_rfo.l3_miss.no_snoop_needed_1, 0x1bb, 0x13c000122
offcore_response.all_rfo.l3_miss.remote_hitm_0, 0x1b7, 0x103fc00122
offcore_response.all_rfo.l3_miss.remote_hitm_1, 0x1bb, 0x103fc00122
offcore_response.all_rfo.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc00122
offcore_response.all_rfo.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc00122
offcore_response.all_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000122
offcore_response.all_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000122
offcore_response.all_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000122
offcore_response.all_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000122
offcore_response.all_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000122
offcore_response.all_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000122
offcore_response.all_rfo.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x1004000122
offcore_response.all_rfo.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x1004000122
offcore_response.all_rfo.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x804000122
offcore_response.all_rfo.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x804000122
offcore_response.all_rfo.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x404000122
offcore_response.all_rfo.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x404000122
offcore_response.all_rfo.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x104000122
offcore_response.all_rfo.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x104000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x604000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x604000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000122
offcore_response.all_rfo.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000122
offcore_response.all_rfo.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b800122
offcore_response.all_rfo.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b800122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.any_snoop_0, 0x1b7, 0x3f90000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.any_snoop_1, 0x1bb, 0x3f90000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.hitm_other_core_0, 0x1b7, 0x1010000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.hitm_other_core_1, 0x1bb, 0x1010000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.hit_other_core_fwd_0, 0x1b7, 0x810000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.hit_other_core_fwd_1, 0x1bb, 0x810000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_0, 0x1b7, 0x410000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_1, 0x1bb, 0x410000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.no_snoop_needed_0, 0x1b7, 0x110000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.no_snoop_needed_1, 0x1bb, 0x110000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.snoop_miss_0, 0x1b7, 0x210000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.snoop_miss_1, 0x1bb, 0x210000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.snoop_none_0, 0x1b7, 0x90000122
offcore_response.all_rfo.l3_miss_remote_hop1_dram.snoop_none_1, 0x1bb, 0x90000122
offcore_response.demand_code_rd.l3_miss.any_snoop_0, 0x1b7, 0x3fbc000004
offcore_response.demand_code_rd.l3_miss.any_snoop_1, 0x1bb, 0x3fbc000004
offcore_response.demand_code_rd.l3_miss.hitm_other_core_0, 0x1b7, 0x103c000004
offcore_response.demand_code_rd.l3_miss.hitm_other_core_1, 0x1bb, 0x103c000004
offcore_response.demand_code_rd.l3_miss.hit_other_core_fwd_0, 0x1b7, 0x83c000004
offcore_response.demand_code_rd.l3_miss.hit_other_core_fwd_1, 0x1bb, 0x83c000004
offcore_response.demand_code_rd.l3_miss.hit_other_core_no_fwd_0, 0x1b7, 0x43c000004
offcore_response.demand_code_rd.l3_miss.hit_other_core_no_fwd_1, 0x1bb, 0x43c000004
offcore_response.demand_code_rd.l3_miss.no_snoop_needed_0, 0x1b7, 0x13c000004
offcore_response.demand_code_rd.l3_miss.no_snoop_needed_1, 0x1bb, 0x13c000004
offcore_response.demand_code_rd.l3_miss.remote_hitm_0, 0x1b7, 0x103fc00004
offcore_response.demand_code_rd.l3_miss.remote_hitm_1, 0x1bb, 0x103fc00004
offcore_response.demand_code_rd.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc00004
offcore_response.demand_code_rd.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc00004
offcore_response.demand_code_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000004
offcore_response.demand_code_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000004
offcore_response.demand_code_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000004
offcore_response.demand_code_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000004
offcore_response.demand_code_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000004
offcore_response.demand_code_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000004
offcore_response.demand_code_rd.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x1004000004
offcore_response.demand_code_rd.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x1004000004
offcore_response.demand_code_rd.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x804000004
offcore_response.demand_code_rd.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x804000004
offcore_response.demand_code_rd.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x404000004
offcore_response.demand_code_rd.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x404000004
offcore_response.demand_code_rd.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x104000004
offcore_response.demand_code_rd.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x104000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x604000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x604000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000004
offcore_response.demand_code_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000004
offcore_response.demand_code_rd.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b800004
offcore_response.demand_code_rd.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b800004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.any_snoop_0, 0x1b7, 0x3f90000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.any_snoop_1, 0x1bb, 0x3f90000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.hitm_other_core_0, 0x1b7, 0x1010000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.hitm_other_core_1, 0x1bb, 0x1010000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.hit_other_core_fwd_0, 0x1b7, 0x810000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.hit_other_core_fwd_1, 0x1bb, 0x810000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_0, 0x1b7, 0x410000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_1, 0x1bb, 0x410000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.no_snoop_needed_0, 0x1b7, 0x110000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.no_snoop_needed_1, 0x1bb, 0x110000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.snoop_miss_0, 0x1b7, 0x210000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.snoop_miss_1, 0x1bb, 0x210000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.snoop_none_0, 0x1b7, 0x90000004
offcore_response.demand_code_rd.l3_miss_remote_hop1_dram.snoop_none_1, 0x1bb, 0x90000004
offcore_response.demand_data_rd.l3_miss.any_snoop_0, 0x1b7, 0x3fbc000001
offcore_response.demand_data_rd.l3_miss.any_snoop_1, 0x1bb, 0x3fbc000001
offcore_response.demand_data_rd.l3_miss.hitm_other_core_0, 0x1b7, 0x103c000001
offcore_response.demand_data_rd.l3_miss.hitm_other_core_1, 0x1bb, 0x103c000001
offcore_response.demand_data_rd.l3_miss.hit_other_core_fwd_0, 0x1b7, 0x83c000001
offcore_response.demand_data_rd.l3_miss.hit_other_core_fwd_1, 0x1bb, 0x83c000001
offcore_response.demand_data_rd.l3_miss.hit_other_core_no_fwd_0, 0x1b7, 0x43c000001
offcore_response.demand_data_rd.l3_miss.hit_other_core_no_fwd_1, 0x1bb, 0x43c000001
offcore_response.demand_data_rd.l3_miss.no_snoop_needed_0, 0x1b7, 0x13c000001
offcore_response.demand_data_rd.l3_miss.no_snoop_needed_1, 0x1bb, 0x13c000001
offcore_response.demand_data_rd.l3_miss.remote_hitm_0, 0x1b7, 0x103fc00001
offcore_response.demand_data_rd.l3_miss.remote_hitm_1, 0x1bb, 0x103fc00001
offcore_response.demand_data_rd.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc00001
offcore_response.demand_data_rd.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc00001
offcore_response.demand_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000001
offcore_response.demand_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000001
offcore_response.demand_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000001
offcore_response.demand_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000001
offcore_response.demand_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000001
offcore_response.demand_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000001
offcore_response.demand_data_rd.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x1004000001
offcore_response.demand_data_rd.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x1004000001
offcore_response.demand_data_rd.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x804000001
offcore_response.demand_data_rd.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x804000001
offcore_response.demand_data_rd.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x404000001
offcore_response.demand_data_rd.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x404000001
offcore_response.demand_data_rd.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x104000001
offcore_response.demand_data_rd.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x104000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x604000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x604000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000001
offcore_response.demand_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000001
offcore_response.demand_data_rd.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b800001
offcore_response.demand_data_rd.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b800001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.any_snoop_0, 0x1b7, 0x3f90000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.any_snoop_1, 0x1bb, 0x3f90000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.hitm_other_core_0, 0x1b7, 0x1010000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.hitm_other_core_1, 0x1bb, 0x1010000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.hit_other_core_fwd_0, 0x1b7, 0x810000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.hit_other_core_fwd_1, 0x1bb, 0x810000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_0, 0x1b7, 0x410000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_1, 0x1bb, 0x410000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.no_snoop_needed_0, 0x1b7, 0x110000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.no_snoop_needed_1, 0x1bb, 0x110000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.snoop_miss_0, 0x1b7, 0x210000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.snoop_miss_1, 0x1bb, 0x210000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.snoop_none_0, 0x1b7, 0x90000001
offcore_response.demand_data_rd.l3_miss_remote_hop1_dram.snoop_none_1, 0x1bb, 0x90000001
offcore_response.demand_rfo.l3_miss.any_snoop_0, 0x1b7, 0x3fbc000002
offcore_response.demand_rfo.l3_miss.any_snoop_1, 0x1bb, 0x3fbc000002
offcore_response.demand_rfo.l3_miss.hitm_other_core_0, 0x1b7, 0x103c000002
offcore_response.demand_rfo.l3_miss.hitm_other_core_1, 0x1bb, 0x103c000002
offcore_response.demand_rfo.l3_miss.hit_other_core_fwd_0, 0x1b7, 0x83c000002
offcore_response.demand_rfo.l3_miss.hit_other_core_fwd_1, 0x1bb, 0x83c000002
offcore_response.demand_rfo.l3_miss.hit_other_core_no_fwd_0, 0x1b7, 0x43c000002
offcore_response.demand_rfo.l3_miss.hit_other_core_no_fwd_1, 0x1bb, 0x43c000002
offcore_response.demand_rfo.l3_miss.no_snoop_needed_0, 0x1b7, 0x13c000002
offcore_response.demand_rfo.l3_miss.no_snoop_needed_1, 0x1bb, 0x13c000002
offcore_response.demand_rfo.l3_miss.remote_hitm_0, 0x1b7, 0x103fc00002
offcore_response.demand_rfo.l3_miss.remote_hitm_1, 0x1bb, 0x103fc00002
offcore_response.demand_rfo.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc00002
offcore_response.demand_rfo.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc00002
offcore_response.demand_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000002
offcore_response.demand_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000002
offcore_response.demand_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000002
offcore_response.demand_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000002
offcore_response.demand_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000002
offcore_response.demand_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000002
offcore_response.demand_rfo.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x1004000002
offcore_response.demand_rfo.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x1004000002
offcore_response.demand_rfo.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x804000002
offcore_response.demand_rfo.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x804000002
offcore_response.demand_rfo.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x404000002
offcore_response.demand_rfo.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x404000002
offcore_response.demand_rfo.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x104000002
offcore_response.demand_rfo.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x104000002
offcore_response.demand_rfo.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000002
offcore_response.demand_rfo.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000002
offcore_response.demand_rfo.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x604000002
offcore_response.demand_rfo.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x604000002
offcore_response.demand_rfo.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000002
offcore_response.demand_rfo.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000002
offcore_response.demand_rfo.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b800002
offcore_response.demand_rfo.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b800002
